Fabric Name,Active Zone Config,Active Zones,Zone Status,Total Zone Members,Zone Member(s)
Fabric A,fabA_config_051125,Zone1,Hanging,3,Host1,Target2,Target3,
Fabric A,fabA_config_051125,Zone2,Hanging,3,Host1,Target3,Target4,
Fabric A,fabA_config_051125,Zone3,Hanging,5,00:02:00:00:00:03:00:02,aa:aa:aa:aa:bb:bb:bb:bb,aa:aa:aa:aa:cc:cc:cc:cc,aa:44:44:44:44:44:44:44,aa:55:55:55:55:55:55:55,
Fabric A,fabA_config_051125,ds8k_migration,Hanging,4,sto_ds8k_i0231,sto_ds8k_i0301,sto_dsg10_i0232,sto_dsg10_i0332,
Fabric A,fabA_config_051125,dsg10_i0232_dsg10_i0332,Valid,2,sto_dsg10_i0232,sto_dsg10_i0332,
Fabric A,fabA_config_051125,dsg10_i0242_dsg10_i0342,Valid,2,sto_dsg10_i0242,sto_dsg10_i0342,
Fabric A,fabA_config_051125,fs5200_iogrp0_fs9200_replication,Valid,4,sto_fs5200_n1p1_physical,sto_fs5200_n2p1_physical,sto_fs9200_n1p1_physical,sto_fs9200_n2p1_physical,
Fabric A,fabA_config_051125,fs5200_iogrp1_fs9200_replication,Valid,4,sto_fs5200_n3p1_physical,sto_fs5200_n4p1_physical,sto_fs9200_n1p1_physical,sto_fs9200_n2p1_physical,
Fabric A,fabA_config_051125,peerzone_3par,Hanging,4,00:02:00:00:00:03:02:02,sto_3par_001,sto_3par_111,srv_graix01_5e,
Fabric A,fabA_config_051125,peerzone_A_dsg10,Hanging,16,00:02:00:00:00:03:02:02,sto_dsg10_i0222,sto_dsg10_i0322,PS75_Dsiasp,PS75_sys,PSFC75_Dsiasp,PSFC75_sys,PSLUN75_Dsiasp,PSLUN75_sys,PT75_Dsiasp,PT75_sys,PTFC75_Dsiasp,PTFC75_sys,PTRCY75_Dsiasp,PTRCY75_sys,srv_rhelsbx01,
