Fabric Name,Active Zone Config,Alias Name,Alias Member(s),Alias Status,Zoned Status,Member of Zone(s)
eng-p-sanswa,swa,Tape_I6_-1_11_2,50:03:08:c4:2a:fd:e1:15 ,Valid,ZONED,z_tape_i6_-1_11_2,,
eng-p-sanswa,swa,Tape_I6_-2_11_1,50:03:08:c4:2a:fd:e1:21 ,Valid,ZONED,z_tape_i6_-2_11_1,,
eng-p-sanswa,swa,Tape_I6_-2_11_3,50:03:08:c4:2a:fd:e1:29 ,Valid,ZONED,z_tape_i6_-2_11_3,,
eng-p-sanswa,swa,Tape_I6_-3_11_2,50:03:08:c4:2a:fd:e1:35 ,Valid,ZONED,z_tape_i6_-3_11_2,,
eng-p-sanswa,swa,Tape_I6_0_11_1,50:03:08:c4:2a:fd:e0:01 ,Valid,ZONED,z_tape_i6_0_11_1,,
eng-p-sanswa,swa,app_p_ebisql,20:01:00:0e:1e:09:1b:89 ,Hanging,ZONED,z_app_p_ebisql,,
eng-p-sanswa,swa,eng_p_nim_hba0,c0:50:76:0a:e6:83:00:06 ,Hanging,ZONED,z_eng_p_nim_hba0_tecsvmblk01,,
eng-p-sanswa,swa,eng_p_nim_hba1,c0:50:76:0a:e6:83:00:02 ,Hanging,ZONED,z_eng_p_nim_hba1_tecsvmblk01,,
eng-p-sanswa,swa,epc-p-vios03,10:00:00:10:9b:e2:06:48 ,Valid,NOT ZONED,,
eng-p-sanswa,swa,epc-p-vios04,10:00:00:10:9b:e2:07:7b ,Valid,ZONED,z_epc_p_vios04,,
eng-p-sanswa,swa,epc_p_clarity_hba0,21:00:00:24:ff:5a:ba:96 ,Hanging,ZONED,z_epc_p_clarity_hba0,,
eng-p-sanswa,swa,epc_p_clarity_hba1,21:00:00:24:ff:5a:ba:ed ,Hanging,ZONED,z_epc_p_clarity_hba1,,
eng-p-sanswa,swa,epc_p_vios01,10:00:00:10:9b:52:e3:76 ,Valid,ZONED,z_epc_p_vios01,,
eng-p-sanswa,swa,epc_p_vios02,10:00:00:10:9b:52:a5:cc ,Valid,ZONED,z_epc_p_vios02,,
eng-p-sanswa,swa,epicproda,10:00:00:10:9b:52:e3:f7 ,Valid,ZONED,z_epicproda,,
eng-p-sanswa,swa,epicprodb,10:00:00:10:9b:5c:22:8a ,Hanging,ZONED,z_epicprodb,,
eng-p-sanswa,swa,epicprodc,c0:50:76:0a:e6:83:00:48 c0:50:76:0a:e6:83:00:4a ,Valid,ZONED,z_epicprodc,,
eng-p-sanswa,swa,epicprodp10-new,10:00:00:10:9b:f0:44:18 ,Valid,ZONED,z_epicprodp10-new,,
eng-p-sanswa,swa,epicshd_hba0,c0:50:76:0a:e6:83:00:12 ,Valid,ZONED,epicshd_hba0_cache,,
eng-p-sanswa,swa,epicshd_hba1,c0:50:76:0a:e6:83:00:14 ,Valid,ZONED,epicshd_hba1_cache,,
eng-p-sanswa,swa,epictst_fscsi0,c0:50:76:0a:e6:83:00:08 ,Valid,ZONED,z_epictst_fscsi0_svmpodcache_n5_n6,z_epictst_fscsi0_svmshdcache_n5_n6,,
eng-p-sanswa,swa,epictst_fscsi3,c0:50:76:0a:e6:83:00:0e ,Valid,ZONED,z_epictst_fscsi3_svmpodcache_n5_n6,z_epictst_fscsi3_svmshdcache_n5_n6,,
eng-p-sanswa,swa,epictst_hba0,c0:50:76:0a:e6:83:00:08 ,Valid,ZONED,z_epictst_hba0_cache,,
eng-p-sanswa,swa,epictst_hba1,c0:50:76:0a:e6:83:00:0e ,Valid,ZONED,z_epictst_hba1_cache,,
eng-p-sanswa,swa,pnwen-p1cvma1,10:00:00:62:0b:3c:dd:63 ,Valid,ZONED,z_pnwen_p1cvma1,z_tape_i6_-1_11_2,z_tape_i6_-2_11_1,z_tape_i6_-2_11_3,z_tape_i6_-3_11_2,z_tape_i6_0_11_1,,
eng-p-sanswa,swa,pnwen-p1cvma2,10:00:00:62:0b:3c:dd:c0 ,Valid,ZONED,z_pnwen_p1cvma2,z_tape_i6_-1_11_2,z_tape_i6_-2_11_1,z_tape_i6_-2_11_3,z_tape_i6_-3_11_2,z_tape_i6_0_11_1,,
eng-p-sanswa,swa,pnwen-p1cvma3,10:00:00:62:0b:3c:dd:4b ,Valid,ZONED,z_pnwen_p1cvma3,z_tape_i6_-1_11_2,z_tape_i6_-2_11_1,z_tape_i6_-2_11_3,z_tape_i6_-3_11_2,z_tape_i6_0_11_1,,
eng-p-sanswa,swa,pnwen-p1cvma4,10:00:00:62:0b:3c:dd:7b ,Valid,ZONED,z_tape_i6_-1_11_2,z_tape_i6_-2_11_1,z_tape_i6_-2_11_3,z_tape_i6_-3_11_2,z_tape_i6_0_11_1,,
eng-p-sanswa,swa,sec_p_qcoll01,21:00:f4:e9:d4:52:2c:a7 ,Hanging,ZONED,z_sec_p_qcoll01,,
